,airbnb_per_1000_residents,evictions_per_1000_renter_units,complaints_per_1000_residents,violations_per_1000_residents,poverty_rate_pct,rent_burden_rate_pct,urban_pressure_score
airbnb_per_1000_residents,1.0,-0.21108330058450075,0.0030898079385371317,0.0841563980486317,-0.11349895901421114,-0.5229663593365204,0.06031672395264767
evictions_per_1000_renter_units,-0.21108330058450075,1.0,0.09993974962325568,0.0486563212738762,0.011367209664073322,0.23996441045553799,0.3360088221842968
complaints_per_1000_residents,0.0030898079385371317,0.09993974962325568,1.0,0.9516967950344675,0.6436211148622742,0.3163230132299166,0.885822435445106
violations_per_1000_residents,0.0841563980486317,0.0486563212738762,0.9516967950344675,1.0,0.6278437016052346,0.2722213736091961,0.8765905616197269
poverty_rate_pct,-0.11349895901421114,0.011367209664073322,0.6436211148622742,0.6278437016052346,1.0,0.5377578732366858,0.7789903263713542
rent_burden_rate_pct,-0.5229663593365204,0.23996441045553799,0.3163230132299166,0.2722213736091961,0.5377578732366858,1.0,0.5185068162997177
urban_pressure_score,0.06031672395264767,0.3360088221842968,0.885822435445106,0.8765905616197269,0.7789903263713542,0.5185068162997177,1.0
