borough,neighborhoods,avg_pressure_score,median_pressure_score,high_pressure_neighborhoods,high_pressure_share
Bronx,37,43.79620684992783,44.56968270368635,25,0.6756756756756757
Brooklyn,53,31.474946328233127,30.007545006310316,16,0.3018867924528302
Manhattan,32,28.745677510822112,29.82431409721842,8,0.25
Queens,59,21.615906240601184,21.825065626253693,1,0.01694915254237288
Staten Island,16,19.10962893917701,15.908229696697443,0,0.0
