nta_code,nta_name,borough,cluster,cluster_name,urban_pressure_score,pressure_level,airbnb_per_1000_residents,evictions_per_1000_renter_units,complaints_per_1000_residents,violations_per_1000_residents,poverty_rate_pct,rent_burden_rate_pct
BK0402,Bushwick (East),Brooklyn,0,Housing-condition and socioeconomic pressure,42.867689636159724,High,17.940743713215625,0.0,81.97899946495451,139.04494382022472,23.5,57.5
BK0302,Bedford-Stuyvesant (East),Brooklyn,0,Housing-condition and socioeconomic pressure,42.10234701718654,High,18.135639016482035,0.0,105.82004863550391,139.32450689002974,24.3,51.2
BX0802,Kingsbridge-Marble Hill,Bronx,0,Housing-condition and socioeconomic pressure,41.34938425683828,High,1.2827940081105684,0.0,135.02441446660598,120.99644128113879,30.4,60.0
BK0301,Bedford-Stuyvesant (West),Brooklyn,0,Housing-condition and socioeconomic pressure,40.919827908533506,High,20.14631144738941,0.0,76.77932496182683,123.89753640693726,26.7,50.6
BX1001,Westchester Square,Bronx,0,Housing-condition and socioeconomic pressure,40.86787622861592,High,0.5849093390524469,0.0,108.27321765126405,143.3027880678495,23.4,67.3
BK1303,Brighton Beach,Brooklyn,0,Housing-condition and socioeconomic pressure,39.92013934261469,High,2.3626299446469554,5.938473520249221,64.5673012015661,83.80585932226273,24.5,67.6
BK1703,East Flatbush-Rugby,Brooklyn,0,Housing-condition and socioeconomic pressure,39.303257741056754,High,2.7771165595493135,0.0,128.35568250945542,175.61956148007087,15.3,61.7
BX0801,Kingsbridge Heights-Van Cortlandt Village,Bronx,0,Housing-condition and socioeconomic pressure,39.22154543296416,High,0.9594975721803856,0.0,171.28485447620156,133.7772221091501,23.1,55.3
BX0302,Claremont Village-Claremont (East),Bronx,0,Housing-condition and socioeconomic pressure,39.19473606764143,High,0.1747411646498624,0.0,77.49770652221396,73.21654798829235,45.8,59.3
MN1001,Harlem (South),Manhattan,0,Housing-condition and socioeconomic pressure,38.73272975219056,High,14.671229227711411,0.0,147.26553695469542,155.03145298444767,18.0,45.0
BX1104,Allerton,Bronx,0,Housing-condition and socioeconomic pressure,38.380186041664665,High,0.7151796888968354,0.0,124.56046248286547,133.23201621073963,24.7,59.3
BK0502,East New York (North),Brooklyn,0,Housing-condition and socioeconomic pressure,37.886712626199895,High,2.3007738966743356,0.0,94.56413116735226,142.15993864602942,28.0,56.7
BK0103,South Williamsburg,Brooklyn,0,Housing-condition and socioeconomic pressure,36.11474534197458,High,2.064992935550484,0.0,14.411477013368113,45.64721225953701,43.3,63.7
BX1101,Pelham Parkway-Van Nest,Bronx,0,Housing-condition and socioeconomic pressure,35.66321407315618,High,1.0852441799404866,0.0,161.28128828986522,109.88972518816733,18.3,56.5
SI0101,St. George-New Brighton,Staten Island,0,Housing-condition and socioeconomic pressure,35.6509777350483,High,2.719406674907293,0.0,104.52410383189122,90.18541409147095,26.5,58.2
BK0503,East New York-New Lots,Brooklyn,0,Housing-condition and socioeconomic pressure,35.21950804409171,High,1.6675715504537345,0.0,102.88528658962227,137.41952997750718,24.0,54.6
MN1101,East Harlem (South),Manhattan,0,Housing-condition and socioeconomic pressure,34.87326622736045,High,8.343713208319826,0.0,79.9221935946218,82.58399167334959,29.2,52.6
MN1202,Washington Heights (North),Manhattan,0,Housing-condition and socioeconomic pressure,34.687059486492814,High,5.466289011832597,0.0,153.75757736188686,149.64131614474417,13.5,49.9
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island,0,Housing-condition and socioeconomic pressure,34.1113542705199,High,2.9552170947942713,0.0,83.99636280972948,76.94930666060468,26.5,59.4
BK0703,Sunset Park (Central),Brooklyn,0,Housing-condition and socioeconomic pressure,32.979752948031035,Medium,2.4697627181239037,0.0,60.751546486935645,79.14781645277444,26.3,60.8
BK1201,Sunset Park (East)-Borough Park (West),Brooklyn,0,Housing-condition and socioeconomic pressure,31.335540042425276,Medium,2.849464106466341,0.0,60.55111226240974,87.97720428714827,25.1,56.7
BK0505,East New York-City Line,Brooklyn,0,Housing-condition and socioeconomic pressure,30.85322732257622,Medium,0.8516333110286514,0.0,69.04312914410852,107.81272177950808,23.0,55.8
BK0104,East Williamsburg,Brooklyn,1,Short-term rental / high-income pressure,39.989426143816004,High,31.756469268556838,1.8069053083947844,56.66653773256488,67.90314470274244,23.3,47.0
MN0303,East Village,Manhattan,1,Short-term rental / high-income pressure,37.97842275462022,High,26.881248903701103,0.9260211955962547,72.45804829562066,76.12699526398877,22.3,46.6
MN0201,SoHo-Little Italy-Hudson Square,Manhattan,1,Short-term rental / high-income pressure,35.28292136273133,High,34.9618802724771,0.0,75.02142824919926,93.15649388730996,9.9,42.9
MN0402,Hell's Kitchen,Manhattan,1,Short-term rental / high-income pressure,32.869534945589294,Medium,30.658626247261004,0.0,71.78428496405354,63.743865558392635,12.3,43.8
BK0102,Williamsburg,Brooklyn,1,Short-term rental / high-income pressure,32.85557041034389,Medium,34.421167352869944,0.48687467034527526,61.622063453620726,84.61491886655365,12.8,37.2
MN0502,Midtown-Times Square,Manhattan,1,Short-term rental / high-income pressure,30.10720755540796,Medium,35.491366349264204,0.0,55.720078363478976,37.997175269943966,12.8,39.0
BK0204,Clinton Hill,Brooklyn,1,Short-term rental / high-income pressure,30.007545006310316,Medium,20.831122900088417,7.465519423003922,49.796640141467726,72.32537577365164,10.0,40.7
BK0801,Prospect Heights,Brooklyn,1,Short-term rental / high-income pressure,27.713490287616782,Medium,18.730400881430633,1.450536698578474,78.77786253072294,128.31595897957453,6.4,38.7
BK0101,Greenpoint,Brooklyn,1,Short-term rental / high-income pressure,26.61951849322819,Medium,25.977005633874626,1.2108080550599032,46.396614576694624,85.85922961225687,9.1,36.9
BK0203,Fort Greene,Brooklyn,1,Short-term rental / high-income pressure,25.452970195461834,Medium,14.786232443278283,3.638825421003639,24.54082420126563,46.457786695477694,16.3,44.4
MN0401,Chelsea-Hudson Yards,Manhattan,1,Short-term rental / high-income pressure,24.778611491937177,Medium,19.344516629496752,0.0,43.14942305827596,41.468696467242,12.3,45.3
MN0602,Gramercy,Manhattan,1,Short-term rental / high-income pressure,24.440244865881134,Medium,16.702484635976322,2.262982372558361,46.75187573049806,27.297062926516606,11.7,45.8
MN0203,West Village,Manhattan,1,Short-term rental / high-income pressure,23.80280058484769,Medium,23.61768866473953,2.6270359528634692,48.2809520880743,45.205732209853004,6.2,38.9
MN0603,Murray Hill-Kips Bay,Manhattan,1,Short-term rental / high-income pressure,21.092295573016298,Low,16.829068390856936,1.4682940258786823,27.64775521355068,21.58273381294964,8.2,46.4
MN0604,East Midtown-Turtle Bay,Manhattan,1,Short-term rental / high-income pressure,20.885716633798257,Low,17.06021110819891,0.0,28.306607257737852,24.06538159117444,7.4,48.3
MN0501,Midtown South-Flatiron-Union Square,Manhattan,1,Short-term rental / high-income pressure,19.92399358085509,Low,17.290192113245705,0.0,30.771823390630267,21.469497809234916,12.8,40.8
MN0702,Upper West Side (Central),Manhattan,1,Short-term rental / high-income pressure,17.199691192441556,Low,8.302396900976516,0.0,48.92664030344605,46.81825518521507,8.3,42.5
MN0202,Greenwich Village,Manhattan,1,Short-term rental / high-income pressure,17.043984616003343,Low,15.261604848177175,0.0,29.158866643398802,25.2244820255735,7.4,41.4
QN0103,Astoria (Central),Queens,1,Short-term rental / high-income pressure,16.753700841559045,Low,11.064487171457799,0.0,45.573161311872404,41.02210809795202,9.7,38.5
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,1,Short-term rental / high-income pressure,16.230910933498052,Low,11.088144338156356,0.0,24.980371420788668,48.951273053566,12.4,36.8
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,1,Short-term rental / high-income pressure,16.05708999431416,Low,10.114003228410008,0.0,31.79227199354318,27.681093623890234,8.8,42.7
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,1,Short-term rental / high-income pressure,16.019021461168467,Low,8.443456321350952,0.0,22.457595363593214,29.826884164772302,15.2,39.5
BK0701,Windsor Terrace-South Slope,Brooklyn,1,Short-term rental / high-income pressure,15.869018360786855,Low,9.491445980782752,0.0,25.740176548707133,36.05187094758222,8.2,43.3
MN0701,Upper West Side-Lincoln Square,Manhattan,1,Short-term rental / high-income pressure,13.990299847226465,Low,6.963584120096171,0.0,19.62997713012373,16.87386383627514,10.8,42.9
MN0803,Upper East Side-Yorkville,Manhattan,1,Short-term rental / high-income pressure,13.820801602091906,Low,9.588347055098163,0.0,32.26092463584547,30.13299556681444,7.3,39.3
MN0101,Financial District-Battery Park City,Manhattan,1,Short-term rental / high-income pressure,13.497959800163436,Low,16.47876892692561,0.0,7.344470046082949,4.546576695194207,6.1,39.5
MN0802,Upper East Side-Carnegie Hill,Manhattan,1,Short-term rental / high-income pressure,12.039391907255578,Low,5.826643483407939,2.0190895741556534,23.898486922422403,26.96903555177389,5.1,40.0
BK0602,Park Slope,Brooklyn,1,Short-term rental / high-income pressure,11.390852620639205,Low,11.740614334470989,0.0,26.194539249146757,50.40955631399317,4.7,32.2
MN0102,Tribeca-Civic Center,Manhattan,1,Short-term rental / high-income pressure,11.383985091042987,Low,9.717504407275229,0.0,11.480414498860558,14.576256610912845,6.1,40.1
QN0201,Long Island City-Hunters Point,Queens,1,Short-term rental / high-income pressure,8.36511046537116,Low,7.421737601125572,0.0,17.16496658459374,15.793176222300385,7.3,33.7
BK0201,Brooklyn Heights,Brooklyn,1,Short-term rental / high-income pressure,6.684727311467835,Low,6.57683670195701,0.0,18.60763554700032,26.668270773179337,4.1,32.2
MN0601,Stuyvesant Town-Peter Cooper Village,Manhattan,1,Short-term rental / high-income pressure,3.246728553579182,Low,1.6846514592724127,0.0,15.389518736056095,1.4569958566680326,7.5,30.5
BK1702,East Flatbush-Farragut,Brooklyn,2,Lower-pressure residential neighborhoods,39.57700946741549,High,2.471289431603431,21.41920442954976,77.91830207879052,62.30556766971944,12.8,54.5
QN1401,Far Rockaway-Bayswater,Queens,2,Lower-pressure residential neighborhoods,38.55170352912182,High,0.7806028165424074,12.512370988265234,72.03848849805645,72.86688332377493,20.0,60.6
