cluster,cluster_name,neighborhoods,avg_pressure_score,avg_airbnb_density,avg_eviction_rate,avg_complaint_rate,avg_violation_rate,avg_poverty_rate,avg_rent_burden,avg_income,avg_entire_home_share
0,Housing-condition and socioeconomic pressure,57,46.666842917836156,4.695369214948396,3.437686449805192,151.49027109354162,166.51491448878923,27.37017543859649,57.62280701754386,53563.771929824565,0.3419346300246535
1,Short-term rental / high-income pressure,32,20.73104826512721,16.72199714607053,0.7925903967949506,38.0716511307168,43.14352324851642,10.0875,40.55625,149490.9375,0.6643985787890767
2,Lower-pressure residential neighborhoods,108,22.835022496403365,2.089524304873067,4.246842148412263,35.1273363450848,34.50508505211869,13.549074074074074,54.007407407407406,84621.21296296296,0.4201980554591536
