nta_code,nta_name,borough,urban_pressure_score,pressure_level,airbnb_per_1000_residents,evictions_per_1000_renter_units,complaints_per_1000_residents,violations_per_1000_residents,poverty_rate_pct,rent_burden_rate_pct
MN0601,Stuyvesant Town-Peter Cooper Village,Manhattan,3.246728553579182,Low,1.6846514592724127,0.0,15.389518736056095,1.4569958566680326,7.5,30.5
QN1301,Glen Oaks-Floral Park-New Hyde Park,Queens,6.507079916202903,Low,0.0,1.823985408116735,5.4247965701286205,2.0561728935164933,10.1,35.7
BK0201,Brooklyn Heights,Brooklyn,6.684727311467835,Low,6.57683670195701,0.0,18.60763554700032,26.668270773179337,4.1,32.2
QN0703,Bay Terrace-Clearview,Queens,8.28436733624152,Low,0.2563554795983764,0.0,5.0843836787011325,5.76799829096347,8.8,43.0
QN0201,Long Island City-Hunters Point,Queens,8.36511046537116,Low,7.421737601125572,0.0,17.16496658459374,15.793176222300385,7.3,33.7
SI0302,Great Kills-Eltingville,Staten Island,9.260608863966704,Low,0.2779128743139026,0.0,2.9875633988744528,3.526019592857639,7.6,46.9
BX0803,Riverdale-Spuyten Duyvil,Bronx,11.044199895970811,Low,0.7624211105934178,0.0,31.471049176161635,18.14985810495997,6.2,45.4
QN1102,Bayside,Queens,11.197627070695495,Low,0.9048750141386721,0.0,7.719714964370546,6.730007917656374,9.5,47.6
QN0803,Fresh Meadows-Utopia,Queens,11.34490721889619,Low,1.0569300984866683,5.369782767878935,7.542637521018496,6.101369204900313,7.7,41.2
MN0102,Tribeca-Civic Center,Manhattan,11.383985091042987,Low,9.717504407275229,0.0,11.480414498860558,14.576256610912845,6.1,40.1
BK0602,Park Slope,Brooklyn,11.390852620639205,Low,11.740614334470989,0.0,26.194539249146757,50.40955631399317,4.7,32.2
SI0305,Tottenville-Charleston,Staten Island,11.521737347140746,Low,0.41555357672899973,0.0,2.6714158504007126,1.840308696942713,4.8,54.7
QN1103,Douglaston-Little Neck,Queens,12.0195214251819,Low,0.4692265582231954,0.0,6.373660749198405,4.770470008602486,6.6,53.1
MN0802,Upper East Side-Carnegie Hill,Manhattan,12.039391907255578,Low,5.826643483407939,2.0190895741556534,23.898486922422403,26.96903555177389,5.1,40.0
SI0303,Arden Heights-Rossville,Staten Island,12.422553086777038,Low,0.0952653138992093,0.0,3.2707757772061856,3.2390206725731163,5.3,56.3
QN1104,Oakland Gardens-Hollis Hills,Queens,12.527917535418979,Low,0.11742142549610553,0.0,8.96316881286939,5.049121296332538,6.9,53.9
QN1003,Howard Beach-Lindenwood,Queens,12.617396011126427,Low,0.6432936635574139,0.0,9.488581537471857,11.772274043100674,6.1,53.3
SI0204,New Springville-Willowbrook-Bulls Head-Travis,Staten Island,12.776940800890586,Low,0.3297376230627914,0.0,10.104102878138395,8.714494323802345,11.1,49.6
QN1306,Springfield Gardens (South)-Brookville,Queens,12.800466888040724,Low,2.815522095727751,0.0,23.05463745052434,22.442567429713957,9.9,44.3
QN1101,Auburndale,Queens,13.087051986238807,Low,0.5475819931984552,1.525940996948118,6.542163813476281,8.790131996080467,9.3,49.9
